Sender Id,Max of Date Created,Min of Date Created,Average of Amount,recency,frequency,monetary
1458,03/03/2024,22/09/2023,547.0,39,24,13128.6
1461,13/02/2024,13/02/2024,3800.0,58,1,3800.0
1491,11/01/2024,11/09/2023,333.3,91,3,1000.0
1496,10/02/2024,08/09/2023,258.2,61,5,1291.0
1499,02/10/2023,02/10/2023,3035.0,192,1,3035.0
1501,06/09/2023,06/09/2023,400.0,218,1,400.0
1503,22/02/2024,22/02/2024,2110.0,49,1,2110.0
1533,28/11/2023,28/11/2023,2000.0,135,1,2000.0
1536,14/01/2024,06/09/2023,1961.5,88,6,11769.2
1541,01/03/2024,24/01/2024,1947.0,41,4,7788.0
1548,13/11/2023,11/09/2023,1846.7,150,3,5540.0
1551,08/02/2024,17/09/2023,362.3,63,7,2536.0
1561,25/02/2024,18/09/2023,776.3,46,8,6210.0
1565,24/01/2024,07/12/2023,1300.0,78,3,3900.0
1571,07/10/2023,06/09/2023,1268.7,187,2,2537.4
1610,10/11/2023,14/10/2023,1125.0,153,2,2250.0
1612,14/11/2023,14/11/2023,1891.0,149,1,1891.0
1617,19/10/2023,19/10/2023,100.0,175,2,200.0
1620,22/11/2023,09/10/2023,504.1,141,3,1512.3
1621,08/02/2024,15/09/2023,705.6,63,9,6350.0
1623,24/01/2024,14/12/2023,675.0,78,2,1350.0
1624,14/02/2024,10/09/2023,772.1,57,9,6949.0
1629,04/01/2024,29/09/2023,713.5,98,6,4281.0
1634,10/12/2023,03/10/2023,1391.5,123,6,8348.8
1636,27/12/2023,20/10/2023,318.8,106,2,637.5
1656,02/03/2024,28/01/2024,1389.0,40,2,2778.0
1660,04/02/2024,17/09/2023,349.0,67,2,698.0
1671,28/11/2023,28/11/2023,3000.0,135,1,3000.0
1688,14/01/2024,12/11/2023,1827.5,88,2,3655.0
1704,26/02/2024,08/09/2023,217.4,45,7,1522.0
1705,16/02/2024,13/09/2023,297.6,55,10,2976.0
1714,23/11/2023,01/11/2023,1333.3,140,3,4000.0
1726,08/02/2024,12/09/2023,299.3,63,4,1197.0
1733,05/11/2023,16/10/2023,266.3,158,2,532.5
1736,07/01/2024,06/09/2023,5906.0,95,3,17718.0
1745,10/10/2023,09/10/2023,1000.0,184,2,2000.0
1749,03/03/2024,25/11/2023,214.8,39,8,1718.0
1755,05/09/2023,05/09/2023,1400.0,219,1,1400.0
1832,31/01/2024,17/09/2023,660.8,71,12,7929.2
1834,03/02/2024,05/09/2023,1405.3,68,6,8432.0
1845,23/02/2024,11/09/2023,1638.4,48,10,16384.0
1846,14/02/2024,14/09/2023,1241.5,57,12,14898.0
1850,13/09/2023,05/09/2023,2105.3,211,3,6316.0
1853,18/02/2024,15/11/2023,916.3,53,6,5498.0
1864,18/12/2023,18/12/2023,400.0,115,1,400.0
1868,01/11/2023,01/11/2023,100.0,162,1,100.0
1883,01/03/2024,01/09/2023,346.0,41,51,17646.5
1902,23/12/2023,13/10/2023,871.0,110,2,1742.0
1907,28/02/2024,30/09/2023,1915.0,43,8,15320.0
1912,13/02/2024,06/12/2023,107.0,58,2,214.0
1913,01/03/2024,13/09/2023,227.5,41,11,2502.6
1925,28/01/2024,15/09/2023,438.0,74,5,2190.0
1931,21/02/2024,10/01/2024,2139.2,50,5,10696.0
1937,25/01/2024,20/09/2023,622.2,77,5,3111.0
1953,29/12/2023,01/09/2023,598.4,104,8,4787.5
1970,06/02/2024,13/09/2023,647.1,65,4,2588.5
1971,20/02/2024,08/09/2023,500.0,51,6,3000.0
1977,21/11/2023,21/11/2023,200.0,142,1,200.0
1981,30/12/2023,27/09/2023,106.5,103,4,426.0
1982,19/11/2023,19/11/2023,454.0,144,1,454.0
2022,31/01/2024,28/09/2023,465.0,71,4,1860.0
2034,25/02/2024,22/09/2023,866.1,46,11,9527.5
2038,07/11/2023,16/10/2023,625.0,156,2,1250.0
2041,07/02/2024,10/09/2023,816.7,64,3,2450.0
2043,25/11/2023,12/09/2023,167.8,138,2,335.5
2044,24/02/2024,24/02/2024,155.0,47,1,155.0
2054,03/03/2024,21/09/2023,245.5,39,2,491.0
2071,19/02/2024,17/02/2024,425.0,52,2,850.0
2077,22/02/2024,19/12/2023,150.0,49,2,300.0
2098,18/02/2024,16/09/2023,513.0,53,4,2052.0
2113,16/02/2024,13/01/2024,3598.6,55,5,17993.0
2131,29/11/2023,29/11/2023,393.5,134,1,393.5
2142,18/01/2024,18/01/2024,300.0,84,1,300.0
2163,01/02/2024,14/10/2023,833.4,70,3,2500.3
2168,02/03/2024,22/09/2023,365.5,40,9,3289.9
2181,12/01/2024,14/10/2023,568.6,90,2,1137.2
2212,04/02/2024,04/09/2023,3310.7,67,3,9932.0
2213,17/02/2024,19/09/2023,683.3,54,6,4100.0
2215,08/01/2024,17/09/2023,600.0,94,2,1200.0
2226,11/12/2023,11/12/2023,2350.0,122,1,2350.0
2254,02/03/2024,01/03/2024,250.0,40,2,500.0
2257,07/10/2023,07/10/2023,1134.7,187,1,1134.7
2280,08/11/2023,08/09/2023,1313.7,155,3,3941.0
2294,11/12/2023,19/10/2023,768.0,122,2,1536.0
2297,09/01/2024,09/01/2024,3000.0,93,1,3000.0
2310,08/01/2024,19/10/2023,84.3,94,3,253.0
2316,06/10/2023,06/10/2023,379.0,188,1,379.0
2321,27/11/2023,16/10/2023,157.5,136,2,315.0
2323,11/02/2024,11/02/2024,500.0,60,1,500.0
2324,10/11/2023,10/11/2023,1000.0,153,2,2000.0
2339,02/03/2024,14/01/2024,857.0,40,2,1714.0
2354,10/10/2023,19/09/2023,133.0,184,3,399.0
2385,01/01/2024,15/10/2023,1000.0,101,2,2000.0
2391,14/01/2024,09/10/2023,300.0,88,2,600.0
2402,20/01/2024,20/01/2024,721.0,82,1,721.0
2412,27/02/2024,02/09/2023,817.7,44,24,19625.7
2446,05/11/2023,20/09/2023,1333.3,158,3,4000.0
2477,06/02/2024,13/10/2023,2950.0,65,3,8850.0
2494,10/01/2024,19/10/2023,220.5,92,4,882.0
2501,01/12/2023,01/12/2023,200.0,132,1,200.0
2505,09/02/2024,10/09/2023,395.2,62,9,3557.0
2513,02/12/2023,02/12/2023,756.2,131,1,756.2
2527,25/02/2024,10/09/2023,668.5,46,11,7353.5
2545,13/10/2023,13/10/2023,6050.0,181,1,6050.0
2556,21/02/2024,30/09/2023,1723.1,50,9,15507.5
2597,04/02/2024,04/02/2024,200.0,67,2,400.0
2608,27/02/2024,20/09/2023,938.0,44,10,9380.0
2628,20/09/2023,20/09/2023,1000.0,204,1,1000.0
2650,28/01/2024,06/09/2023,166.8,74,5,834.0
2661,16/10/2023,16/10/2023,303.0,178,1,303.0
2676,07/09/2023,07/09/2023,500.0,217,1,500.0
2681,27/10/2023,07/09/2023,730.0,167,4,2920.0
2693,19/12/2023,22/09/2023,193.3,114,3,580.0
2713,02/03/2024,02/03/2024,460.0,40,1,460.0
2714,14/10/2023,14/10/2023,1000.0,180,1,1000.0
2720,23/01/2024,12/09/2023,347.8,79,3,1043.5
2726,28/02/2024,15/09/2023,1842.9,43,7,12900.0
2744,25/12/2023,02/10/2023,252.0,108,2,504.0
2746,28/01/2024,30/10/2023,313.0,74,2,626.0
2772,02/01/2024,07/10/2023,2475.0,100,4,9900.0
2796,29/02/2024,28/09/2023,505.0,42,6,3030.0
2800,30/01/2024,12/01/2024,337.5,72,2,675.0
2825,29/02/2024,13/10/2023,461.8,42,4,1847.0
2826,01/03/2024,01/03/2024,765.0,41,1,765.0
2833,01/12/2023,01/12/2023,345.0,132,1,345.0
2856,26/02/2024,10/11/2023,2454.4,45,4,9817.5
2863,03/10/2023,03/10/2023,1200.0,191,1,1200.0
2869,05/01/2024,12/10/2023,874.2,97,17,14860.6
2891,10/10/2023,10/10/2023,550.0,184,1,550.0
2901,06/02/2024,07/11/2023,2218.3,65,6,13310.0
2908,08/01/2024,17/09/2023,1400.0,94,3,4200.0
2910,25/02/2024,10/10/2023,4875.0,46,4,19500.0
