Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
9110,26/02/2019,1870,1,5000,5000
9137,05/03/2019,1863,3,17000,5666.666667
9151,20/10/2019,1634,1,4500,4500
9158,17/01/2019,1910,1,4000,4000
9179,20/11/2020,1237,1,9999,9999
9182,17/11/2022,510,7,26059.97,3722.852857
9212,03/10/2023,190,11,84883.99,7716.726364
9258,09/04/2020,1462,3,26000,8666.666667
9269,11/08/2019,1704,1,5500,5500
9279,01/02/2021,1164,6,49837,8306.166667
9379,02/01/2024,99,11,42936.99,3903.362727
9380,02/03/2020,1500,6,23474,3912.333333
9453,03/02/2019,1893,3,17500,5833.333333
9467,15/04/2019,1822,3,12000,4000
9522,13/10/2023,180,27,134003,4963.074074
9571,02/04/2023,374,10,39841.98,3984.198
9599,17/03/2022,755,1,9999,9999
9601,09/02/2024,61,28,194089.83,6931.779643
9613,04/11/2020,1253,5,20724.69,4144.938
9764,03/05/2021,1073,2,8102.99,4051.495
9776,17/05/2019,1790,1,8500,8500
9841,18/02/2019,1878,1,4121,4121
9855,06/02/2024,64,2,7506.99,3753.495
9960,08/04/2019,1829,1,10000,10000
10006,11/02/2020,1520,3,12001,4000.333333
10047,24/06/2019,1752,2,14000,7000
10078,15/05/2023,331,23,89227,3879.434783
10104,11/04/2021,1095,4,24349,6087.25
10142,29/07/2020,1351,2,14506,7253
10148,29/05/2020,1412,2,10193,5096.5
10182,13/01/2020,1549,1,5000,5000
10191,06/10/2021,917,15,113205.91,7547.060667
10203,19/01/2021,1177,8,62996.74,7874.5925
10275,22/04/2019,1815,2,20000,10000
10277,11/03/2019,1857,2,11005,5502.5
10376,07/01/2019,1920,1,10000,10000
10391,12/04/2019,1825,1,5000,5000
10403,29/09/2020,1289,1,9100,9100
10428,30/11/2022,497,5,40000,8000
10451,05/01/2019,1922,1,4500,4500
10452,20/04/2023,356,6,22430,3738.333333
10470,15/04/2019,1822,1,8000,8000
10475,25/02/2020,1506,2,17714.78,8857.39
10536,24/11/2019,1599,1,5881,5881
10547,20/03/2020,1482,2,10000,5000
10587,22/02/2023,413,8,32739.98,4092.4975
10662,05/06/2019,1771,3,21000,7000
10663,12/10/2020,1276,5,25073,5014.6
10701,08/02/2024,62,18,65600,3644.444444
10724,06/01/2020,1556,2,17600,8800
10761,18/01/2019,1909,1,9997,9997
10783,07/01/2024,94,23,101831.97,4427.476957
10844,22/07/2020,1358,3,10990,3663.333333
10853,19/09/2020,1299,3,21275.2,7091.733333
10873,06/02/2019,1890,1,5000,5000
10875,06/06/2022,674,21,99206.98,4724.141905
10932,31/07/2023,254,28,128242.47,4580.088214
10946,05/03/2019,1863,2,9250,4625
10963,03/03/2019,1865,1,10000,10000
10991,09/10/2022,549,13,91011.99,7000.922308
10992,09/08/2019,1706,4,35000,8750
11021,21/03/2019,1847,2,19000,9500
11028,09/05/2019,1798,3,22000,7333.333333
11033,06/05/2019,1801,4,17005,4251.25
11036,17/12/2023,115,20,74196.68,3709.834
11044,25/07/2020,1355,1,5001,5001
11079,28/08/2020,1321,4,16521,4130.25
11084,17/11/2023,145,7,26547.48,3792.497143
11120,15/10/2020,1273,7,36919.66,5274.237143
11131,26/04/2023,350,8,46870,5858.75
11132,17/09/2023,206,1,4551.32,4551.32
11160,30/04/2019,1807,2,15000,7500
11166,20/01/2021,1176,10,64085.11,6408.511
11172,04/01/2022,827,4,27623.99,6905.9975
11193,15/10/2022,543,3,11392.99,3797.663333
11196,04/06/2019,1772,2,11110,5555
11198,24/11/2021,868,5,46315,9263
11212,28/11/2022,499,5,24528.99,4905.798
11230,22/05/2019,1785,2,9999,4999.5
11232,08/05/2019,1799,2,9117,4558.5
11233,10/10/2022,548,8,28664.9,3583.1125
11239,01/12/2020,1226,7,52194,7456.285714
11248,12/07/2022,638,5,19500,3900
11259,20/05/2019,1787,2,12000,6000
11265,18/09/2019,1666,2,12500,6250
11270,20/05/2019,1787,2,7200,3600
11279,18/02/2021,1147,7,26485,3783.571429
11305,23/05/2019,1784,2,8000,4000
11313,23/05/2019,1784,1,8665,8665
11322,26/05/2019,1781,1,4000,4000
11326,01/08/2022,618,6,28030,4671.666667
11330,11/02/2020,1520,3,16667,5555.666667
11345,03/11/2020,1254,5,36257,7251.4
11350,02/06/2019,1774,1,9901.89,9901.89
11355,07/12/2019,1586,6,47500,7916.666667
11358,04/06/2019,1772,1,7500,7500
11360,16/08/2020,1333,3,28000,9333.333333
11382,07/01/2022,824,12,44099.98,3674.998333
11395,10/07/2020,1370,4,27651,6912.75
11400,27/11/2023,135,13,57607.99,4431.383846
11413,21/06/2019,1755,1,9991,9991
11423,30/12/2022,467,3,20301.99,6767.33
11433,06/07/2021,1009,3,13500,4500
11452,03/07/2019,1743,2,10000,5000
11472,09/07/2019,1737,3,15000,5000
11506,24/06/2021,1021,3,15200,5066.666667
11515,20/07/2019,1726,1,10000,10000
11530,11/09/2023,212,6,41246,6874.333333
11548,14/12/2023,118,9,40264,4473.777778
11551,31/07/2019,1715,3,30000,10000
